"","Date","Team","Goals","Assists","Points","Plusminus","PIM","PPG","PPP","SHG","SHP","GWG","OTG","Shots","TOI","Shifts","Year","season","Home","toi2","toi3","toi_seconds","opponent","opp_2","season2","opp_int","opp_int2"
"70","16-Feb","vs PHI",1,2,3,3,0,0,0,0,0,0,0,3,"16:31",21,2017,"1617",1,"00:16:31",00:16:31,991,"PHI","OTHER","2","13","5"
"71","14-Feb","vs ARI",0,2,2,1,0,0,1,0,0,0,0,2,"18:24",24,2017,"1617",1,"00:18:24",00:18:24,1104,"ARI","OTHER","2","6","5"
"72","11-Feb","vs CHI",0,1,1,1,0,0,0,0,0,0,0,2,"19:02",21,2017,"1617",1,"00:19:02",00:19:02,1142,"CHI","OTHER","2","27","5"
"73","05-Feb","@ MTL",0,0,0,0,0,0,0,0,0,0,0,6,"25:34:00",26,2017,"1617",0,"00:25:34",00:25:34,1534,"MTL","MTL","2","19","4"
"74","03-Feb","@ CAR",1,0,1,1,0,0,0,0,0,0,0,2,"22:33",23,2017,"1617",0,"00:22:33",00:22:33,1353,"CAR","OTHER","2","28","5"
"75","02-Feb","@ NSH",0,0,0,-2,0,0,0,0,0,0,0,3,"21:14",21,2017,"1617",0,"00:21:14",00:21:14,1274,"NSH","OTHER","2","9","5"
"76","31-Jan","vs MIN",0,0,0,-2,0,0,0,0,0,0,0,3,"17:27",20,2017,"1617",1,"00:17:27",00:17:27,1047,"MIN","OTHER","2","10","5"
"77","26-Jan","@ SJS",1,1,2,1,0,0,0,0,0,0,0,2,"19:51",24,2017,"1617",0,"00:19:51",00:19:51,1191,"SJS","OTHER","2","5","5"
"78","25-Jan","@ ANA",0,1,1,2,0,0,0,0,0,0,0,0,"19:51",24,2017,"1617",0,"00:19:51",00:19:51,1191,"ANA","OTHER","2","3","5"
"79","21-Jan","@ CGY",1,0,1,1,2,0,0,0,0,1,0,2,"16:57",19,2017,"1617",0,"00:16:57",00:16:57,1017,"CGY","CGY","2","2","2"
"80","20-Jan","vs NSH",0,1,1,-1,0,0,1,0,0,0,0,3,"24:53:00",26,2017,"1617",1,"00:24:53",00:24:53,1493,"NSH","OTHER","2","9","5"
"81","18-Jan","vs FLA",1,2,3,2,0,0,1,0,0,1,1,6,"24:37:00",27,2017,"1617",1,"00:24:37",00:24:37,1477,"FLA","OTHER","2","25","5"
"82","16-Jan","vs ARI",0,1,1,1,0,0,0,0,0,0,0,1,"18:16",23,2017,"1617",1,"00:18:16",00:18:16,1096,"ARI","OTHER","2","6","5"
"83","14-Jan","vs CGY",0,0,0,-1,0,0,0,0,0,0,0,2,"22:18",28,2017,"1617",1,"00:22:18",00:22:18,1338,"CGY","CGY","2","2","2"
"84","12-Jan","vs NJD",0,2,2,2,0,0,0,0,0,0,0,4,"23:52",26,2017,"1617",1,"00:23:52",00:23:52,1432,"NJD","OTHER","2","18","5"
"85","10-Jan","vs SJS",0,0,0,-1,2,0,0,0,0,0,0,2,"24:05:00",28,2017,"1617",1,"00:24:05",00:24:05,1445,"SJS","OTHER","2","5","5"
"86","08-Jan","@ OTT",0,2,2,2,0,0,0,0,0,0,0,4,"18:15",22,2017,"1617",0,"00:18:15",00:18:15,1095,"OTT","OTHER","2","16","5"
